Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,2500,2,7,-42.50000000000003,50,23,1009,4,2,0.3,1
uct,2500,2,8,-31.000000000000014,50,22,942,4,2,0.3,1
uct,2500,2,9,-44.00000000000002,50,25,1044,4,2,0.3,1
uct,2500,2,10,-40.200000000000024,50,21,965,4,2,0.3,1
uct,2500,2,1,-39.10000000000002,50,58,2997,4,3,0.3,1
uct,2500,2,2,-45.10000000000003,50,70,3313,4,3,0.3,1
uct,2500,2,3,-36.80000000000002,50,73,3092,4,3,0.3,1
uct,2500,2,4,-42.000000000000036,50,58,2872,4,3,0.3,1
uct,2500,2,5,-38.50000000000002,50,66,2875,4,3,0.3,1
uct,2500,2,6,-32.2,50,61,2390,4,3,0.3,1
uct,2500,2,7,-36.40000000000002,50,60,2908,4,3,0.3,1
uct,2500,2,8,-40.00000000000002,50,57,2728,4,3,0.3,1
uct,2500,2,9,-34.400000000000006,50,63,2711,4,3,0.3,1
uct,2500,2,10,-40.600000000000016,50,62,2813,4,3,0.3,1
uct,2500,2,1,-41.10000000000001,50,630,21317,4,4,0.3,1
uct,2500,2,2,-29.80000000000001,50,652,21747,4,4,0.3,1
uct,2500,2,3,-31.800000000000004,50,565,20669,4,4,0.3,1
uct,2500,2,4,-34.100000000000016,50,495,22806,4,4,0.3,1
uct,2500,2,5,-36.40000000000002,50,567,22311,4,4,0.3,1
uct,2500,2,6,-39.200000000000024,50,498,21118,4,4,0.3,1
uct,2500,2,7,-46.2,50,489,18642,4,4,0.3,1
uct,2500,2,8,-39.90000000000001,50,526,20222,4,4,0.3,1
